30/08/2016,16:44:16.082000
1
 	Служебный канал	Напряжение статора	Ток статора	Активная мощность	Реактивная мощность	Активный ток	
246	-666,7	-666,7	0,0	-574,6	0,0	0,0	
247	-670,2	-670,2	0,0	-574,6	0,0	0,0	
248	-666,7	-666,7	0,0	-574,6	0,0	0,0	
249	-670,2	-670,2	0,0	-574,6	0,0	0,0	
250	-670,2	-670,2	0,0	-574,6	0,0	0,0	
251	-666,7	-666,7	0,0	-574,6	0,0	0,0	
252	-666,7	-666,7	0,0	-574,6	0,0	0,0	
253	-673,8	-673,8	0,0	-574,6	0,0	0,0	
254	-663,2	-663,2	0,0	-574,6	0,0	0,0	
255	-670,2	-670,2	0,0	-574,6	0,0	0,0	
256	-675,0	-675,0	0,0	-574,6	0,0	0,0	
257	-670,3	-670,3	0,0	-574,6	0,0	0,0	
258	-666,7	-666,7	0,0	-574,6	0,0	0,0	
259	-672,9	-672,9	0,0	-574,6	0,0	0,0	
260	-666,7	-666,7	0,0	-574,6	0,0	0,0	
261	-666,7	-666,7	0,0	-574,6	0,0	0,0	
262	-666,7	-666,7	0,0	-574,6	0,0	0,0	
263	-666,7	-666,7	0,0	-574,6	0,0	0,0	
264	-670,2	-670,2	0,0	-574,6	0,0	0,0	
265	-673,0	-673,0	0,0	-574,6	0,0	0,0	
266	-669,8	-669,8	0,0	-574,6	0,0	0,0	
267	-666,7	-666,7	0,0	-574,6	0,0	0,0	
268	-666,7	-666,7	0,0	-574,6	0,0	0,0	
269	-669,8	-669,8	0,0	-574,6	0,0	0,0	
270	-666,7	-666,7	0,0	-574,6	0,0	0,0	
271	-670,2	-670,2	0,0	-574,6	0,0	0,0	
272	-666,7	-666,7	0,0	-574,6	0,0	0,0	
273	-666,7	-666,7	0,0	-574,6	0,0	0,0	
274	-666,7	-666,7	0,0	-574,6	0,0	0,0	
275	-666,7	-666,7	0,0	-574,6	0,0	0,0	
276	-666,7	-666,7	0,0	-574,6	0,0	0,0	
277	-670,2	-670,2	0,0	-574,6	0,0	0,0	
278	-666,7	-666,7	0,0	-574,6	0,0	0,0	
